created_at,field1,field2
2022-03-16T03:07:04+05:30,96.5,
2022-03-16T03:08:01+05:30,96.7,
2022-03-16T03:08:57+05:30,97.2,
2022-03-16T03:09:54+05:30,96.1,
2022-03-16T03:10:51+05:30,96.1,
2022-03-16T03:11:48+05:30,96.7,
2022-03-16T03:12:45+05:30,96.4,
2022-03-16T03:13:41+05:30,96.5,
2022-03-16T03:14:38+05:30,97,
2022-03-16T03:15:35+05:30,97.4,
2022-03-16T03:16:32+05:30,97,
2022-03-16T03:17:29+05:30,96.2,
2022-03-16T03:18:26+05:30,96.1,
2022-03-16T03:19:23+05:30,96.7,
2022-03-16T03:20:20+05:30,97.8,
2022-03-16T03:21:16+05:30,96.8,
2022-03-16T03:22:13+05:30,97.2,
2022-03-16T03:23:10+05:30,97.8,
2022-03-16T03:24:07+05:30,98.1,
2022-03-16T03:25:04+05:30,97.8,
2022-03-16T03:26:00+05:30,98.5,
2022-03-16T03:27:53+05:30,194.60001,
2022-03-16T03:28:50+05:30,194.8,
2022-03-16T03:29:47+05:30,195.7,
2022-03-16T03:30:44+05:30,196,
2022-03-16T03:31:41+05:30,194.3,
2022-03-16T03:32:37+05:30,195,
2022-03-16T03:33:34+05:30,196.7,
2022-03-16T03:34:31+05:30,193.7,
2022-03-16T03:35:28+05:30,194,
2022-03-16T03:36:25+05:30,194,
2022-03-16T03:37:21+05:30,194.60001,
2022-03-16T03:38:18+05:30,192.8,
2022-03-16T03:39:15+05:30,192.3,
2022-03-16T03:40:12+05:30,192.8,
2022-03-16T03:41:09+05:30,195.60001,
2022-03-16T03:42:05+05:30,193.60001,
2022-03-16T03:43:02+05:30,193.3,
2022-03-16T03:43:59+05:30,193.60001,
2022-03-16T03:44:56+05:30,194.60001,
2022-03-16T03:45:53+05:30,192.89999,
2022-03-16T03:46:50+05:30,192.60001,
2022-03-16T03:47:47+05:30,193.7,
2022-03-16T03:48:44+05:30,195.39999,
2022-03-16T03:49:41+05:30,194.39999,
2022-03-16T03:50:38+05:30,194,
2022-03-16T03:51:34+05:30,195,
2022-03-16T03:52:31+05:30,195.7,
2022-03-16T03:53:28+05:30,253.7,
2022-03-16T03:54:26+05:30,253.5,
2022-03-16T03:55:22+05:30,254,
2022-03-16T03:56:19+05:30,256.5,
2022-03-16T03:57:16+05:30,254.7,
2022-03-16T03:58:14+05:30,253,
2022-03-16T03:59:10+05:30,253,
2022-03-16T04:00:07+05:30,256.20001,
2022-03-16T04:01:04+05:30,252.60001,
2022-03-16T04:02:01+05:30,253.2,
2022-03-16T04:02:58+05:30,250.7,
2022-03-16T04:03:55+05:30,251.89999,
2022-03-16T04:04:51+05:30,251.8,
2022-03-16T04:05:48+05:30,250,
2022-03-16T04:06:45+05:30,250,
2022-03-16T04:07:42+05:30,250.8,
2022-03-16T04:08:39+05:30,254.7,
2022-03-16T04:09:36+05:30,251.39999,
2022-03-16T04:10:32+05:30,253.5,
2022-03-16T04:12:40+05:30,255.5,
2022-03-16T04:13:37+05:30,257.10001,
2022-03-16T04:14:34+05:30,255.89999,
2022-03-16T04:15:31+05:30,255.8,
2022-03-16T04:16:27+05:30,256.5,
2022-03-16T04:17:24+05:30,255.10001,
2022-03-16T04:18:21+05:30,257.60001,
2022-03-16T04:19:18+05:30,257.70001,
2022-03-16T04:20:15+05:30,259.10001,
2022-03-16T04:21:11+05:30,258.5,
2022-03-16T04:22:08+05:30,258.10001,
2022-03-16T04:23:05+05:30,259.89999,
2022-03-16T04:24:02+05:30,259.39999,
2022-03-16T04:24:59+05:30,258.29999,
2022-03-16T04:25:55+05:30,258.70001,
2022-03-16T04:26:52+05:30,258.70001,
2022-03-16T04:27:49+05:30,258,
2022-03-16T04:28:46+05:30,259.29999,
2022-03-16T04:29:43+05:30,257,
2022-03-16T04:30:39+05:30,258.10001,
2022-03-16T04:31:36+05:30,258.39999,
2022-03-16T04:32:33+05:30,257.60001,
2022-03-16T04:33:30+05:30,256.89999,
2022-03-16T04:34:27+05:30,256.5,
2022-03-16T04:35:24+05:30,259.29999,
2022-03-16T04:36:21+05:30,257.60001,
2022-03-16T04:37:17+05:30,256.60001,
2022-03-16T04:38:14+05:30,259.60001,
2022-03-16T04:39:11+05:30,259,
2022-03-16T04:40:08+05:30,258,
2022-03-16T04:41:04+05:30,258.10001,
2022-03-16T04:42:01+05:30,257.60001,
2022-03-16T04:42:58+05:30,261.70001,
2022-03-16T04:43:55+05:30,262,
2022-03-16T04:44:52+05:30,260,
2022-03-16T04:45:49+05:30,259.89999,
2022-03-16T04:46:45+05:30,261.5,
2022-03-16T04:47:42+05:30,258.29999,
2022-03-16T04:48:42+05:30,260.39999,
2022-03-16T04:49:39+05:30,258.39999,
2022-03-16T04:50:35+05:30,258,
2022-03-16T04:51:32+05:30,257,
2022-03-16T04:52:29+05:30,257.20001,
2022-03-16T04:53:26+05:30,256.70001,
2022-03-16T04:54:23+05:30,257,
2022-03-16T04:55:20+05:30,256.39999,
2022-03-16T04:56:16+05:30,256.10001,
2022-03-16T04:57:13+05:30,256.39999,
2022-03-16T04:58:10+05:30,256.70001,
2022-03-16T04:59:07+05:30,259.60001,
2022-03-16T05:00:04+05:30,259.29999,
2022-03-16T05:01:01+05:30,258.70001,
2022-03-16T05:01:58+05:30,255.7,
2022-03-16T05:02:54+05:30,257.29999,
2022-03-16T05:03:51+05:30,255.89999,
2022-03-16T05:04:48+05:30,257.79999,
2022-03-16T05:06:41+05:30,258.60001,
2022-03-16T05:07:38+05:30,258.5,
2022-03-16T05:08:35+05:30,258.20001,
2022-03-16T05:09:32+05:30,256.5,
2022-03-16T05:10:28+05:30,255.89999,
2022-03-16T05:11:25+05:30,255.5,
2022-03-16T05:12:22+05:30,256.10001,
2022-03-16T05:13:19+05:30,257.89999,
2022-03-16T05:14:16+05:30,255,
2022-03-16T05:15:13+05:30,255,
2022-03-16T05:16:10+05:30,257.20001,
2022-03-16T05:17:07+05:30,256.79999,
2022-03-16T05:18:03+05:30,256.29999,
2022-03-16T05:19:00+05:30,257.39999,
2022-03-16T05:19:57+05:30,257.5,
2022-03-16T05:20:53+05:30,259.5,
2022-03-16T05:21:50+05:30,256.79999,
2022-03-16T05:22:47+05:30,256,
2022-03-16T05:23:44+05:30,257.29999,
2022-03-16T05:24:41+05:30,257.60001,
2022-03-16T05:25:38+05:30,257.89999,
2022-03-16T05:26:37+05:30,257.79999,
2022-03-16T05:27:34+05:30,254.7,
2022-03-16T05:28:31+05:30,257.70001,
2022-03-16T05:29:28+05:30,255.60001,
2022-03-16T05:30:25+05:30,255.7,
2022-03-16T05:31:22+05:30,254.5,
2022-03-16T05:32:19+05:30,256.70001,
2022-03-16T05:33:15+05:30,256.79999,
2022-03-16T05:34:12+05:30,255.3,
2022-03-16T05:35:09+05:30,257.29999,
2022-03-16T05:36:06+05:30,254.5,
2022-03-16T05:37:03+05:30,255.60001,
2022-03-16T05:37:59+05:30,255.60001,
2022-03-16T05:38:57+05:30,256,
2022-03-16T05:39:54+05:30,253.3,
2022-03-16T05:40:51+05:30,256.60001,
2022-03-16T05:41:48+05:30,260,
2022-03-16T05:42:45+05:30,261.29999,
2022-03-16T05:43:42+05:30,259.10001,
2022-03-16T05:44:38+05:30,257,
2022-03-16T05:45:36+05:30,257.29999,
2022-03-16T05:46:33+05:30,255.60001,
2022-03-16T05:47:29+05:30,253.60001,
2022-03-16T05:48:27+05:30,253.2,
2022-03-16T05:49:24+05:30,254.39999,
2022-03-16T05:50:20+05:30,253,
2022-03-16T05:51:17+05:30,253.60001,
2022-03-16T05:52:14+05:30,253.8,
2022-03-16T05:53:11+05:30,252.39999,
2022-03-16T05:54:09+05:30,251.2,
2022-03-16T05:55:06+05:30,247.89999,
2022-03-16T05:56:02+05:30,251.60001,
2022-03-16T05:57:00+05:30,248.39999,
2022-03-16T05:57:56+05:30,246.60001,
2022-03-16T05:58:53+05:30,249,
2022-03-16T05:59:50+05:30,251.60001,
2022-03-16T06:00:47+05:30,252.39999,
2022-03-16T06:01:44+05:30,251.39999,
2022-03-16T06:02:41+05:30,252.8,
2022-03-16T06:03:38+05:30,251.5,
2022-03-16T06:04:35+05:30,249.89999,
2022-03-16T06:05:32+05:30,250.60001,
2022-03-16T06:06:28+05:30,254,
2022-03-16T06:07:25+05:30,254.10001,
2022-03-16T06:08:22+05:30,254.3,
2022-03-16T06:09:19+05:30,252.60001,
2022-03-16T06:10:16+05:30,249.89999,
2022-03-16T06:11:13+05:30,252.10001,
2022-03-16T06:12:11+05:30,248.60001,
2022-03-16T06:13:08+05:30,248.39999,
2022-03-16T06:14:05+05:30,251.39999,
2022-03-16T06:15:02+05:30,253.7,
2022-03-16T06:15:59+05:30,250.2,
2022-03-16T06:16:56+05:30,246.10001,
2022-03-16T06:17:52+05:30,246,
2022-03-16T06:18:49+05:30,245.2,
2022-03-16T06:19:46+05:30,247.10001,
2022-03-16T06:20:43+05:30,245.2,
2022-03-16T06:21:40+05:30,253.39999,
2022-03-16T06:22:37+05:30,249.2,
2022-03-16T06:23:34+05:30,249,
2022-03-16T06:24:31+05:30,248,
2022-03-16T06:25:28+05:30,248.39999,
2022-03-16T06:26:24+05:30,248,
2022-03-16T06:27:21+05:30,246.7,
2022-03-16T06:28:19+05:30,247.2,
2022-03-16T06:29:15+05:30,253.8,
2022-03-16T06:30:12+05:30,157.5,
2022-03-16T06:31:09+05:30,157.3,
2022-03-16T06:32:07+05:30,156.2,
2022-03-16T06:33:03+05:30,156.10001,
2022-03-16T06:34:00+05:30,154.10001,
2022-03-16T06:34:57+05:30,153.5,
2022-03-16T06:35:55+05:30,152.39999,
2022-03-16T06:36:52+05:30,153.5,
2022-03-16T06:37:49+05:30,151.89999,
2022-03-16T06:38:46+05:30,153.89999,
2022-03-16T06:39:43+05:30,154,
2022-03-16T06:40:40+05:30,153.60001,
2022-03-16T06:41:37+05:30,153.3,
2022-03-16T06:42:33+05:30,150.7,
2022-03-16T06:43:31+05:30,151.5,
2022-03-16T06:44:28+05:30,152.10001,
2022-03-16T06:45:24+05:30,153,
2022-03-16T06:46:21+05:30,151.5,
2022-03-16T06:47:18+05:30,151.3,
2022-03-16T06:48:15+05:30,151.3,
2022-03-16T06:49:12+05:30,153.2,
2022-03-16T06:50:09+05:30,152.39999,
2022-03-16T06:51:06+05:30,59.6,
2022-03-16T06:52:03+05:30,60.1,
2022-03-16T06:53:00+05:30,59.4,
2022-03-16T06:53:57+05:30,59.9,
2022-03-16T06:54:54+05:30,59.4,
2022-03-16T06:55:51+05:30,59.6,
2022-03-16T06:56:48+05:30,59.7,
,219.3333337,
